iter	Logloss
0	0.6853962242
1	0.6759272531
2	0.667088469
3	0.6586789286
4	0.6495386517
5	0.6421189404
6	0.6344027756
7	0.6275157211
8	0.620643853
9	0.612711877
10	0.6059237093
11	0.5991094159
12	0.5921467751
13	0.5848428379
14	0.5782148553
15	0.5712963861
16	0.5649123614
17	0.5590199546
18	0.5519538758
19	0.5458974301
20	0.5402240359
21	0.5344740589
22	0.5287229888
23	0.5242478329
24	0.5201421913
25	0.5149947125
26	0.5099943117
27	0.5038415819
28	0.4995574937
29	0.4955294028
30	0.4903833308
31	0.4855736231
32	0.4807885782
33	0.4764153949
34	0.472579532
35	0.4685486878
36	0.4639232608
37	0.459676418
38	0.4557812963
39	0.4523018837
40	0.4485491596
41	0.4454903078
42	0.4408744823
43	0.4372929092
44	0.4331350654
45	0.4296041732
46	0.4254397172
47	0.4217818331
48	0.418374386
49	0.415448018
50	0.4132405573
51	0.4102294697
52	0.4063034486
53	0.4032859552
54	0.4007882213
55	0.3986255438
56	0.3958889561
57	0.392909465
58	0.3905365676
59	0.387867999
60	0.3852728592
61	0.3831208482
62	0.3805010164
63	0.3780139495
64	0.3758034153
65	0.3731447834
66	0.3717738494
67	0.3695592616
68	0.3679599165
69	0.3654406635
70	0.3629708139
71	0.3606848561
72	0.358750448
73	0.3565920175
74	0.3541937206
75	0.3521587746
76	0.3501166226
77	0.3483978222
78	0.346203693
79	0.3447994861
80	0.3432169143
81	0.3418745129
82	0.3403656262
83	0.3382328025
84	0.3360072354
85	0.3339945579
86	0.3322017299
87	0.3300448858
88	0.3283505751
89	0.3268316489
90	0.3253537701
91	0.3241977595
92	0.3225041547
93	0.3214930056
94	0.319802223
95	0.3182688805
96	0.3164777786
97	0.314868866
98	0.3133819437
99	0.3121795739
100	0.3111347438
101	0.3094257573
102	0.3076632402
103	0.3060132448
104	0.3051251127
105	0.303620274
106	0.3025076381
107	0.3014492449
108	0.2999114359
109	0.2982673174
110	0.2971134571
111	0.2958903236
112	0.2949760429
113	0.2938197618
114	0.2927228386
115	0.2916983001
116	0.2900750419
117	0.2884212582
118	0.2871008004
119	0.2861406754
120	0.2852699213
121	0.2838808402
122	0.2826728477
123	0.2816958665
124	0.2803321014
125	0.2791142365
126	0.2781422382
127	0.2772400507
128	0.2759909225
129	0.2751031744
130	0.2739035936
131	0.2729298606
132	0.2718229102
133	0.2705896038
134	0.2697884031
135	0.2690368167
136	0.2682989598
137	0.2675094303
138	0.266546402
139	0.2656191726
140	0.2647015882
141	0.2635106317
142	0.2626647718
143	0.2619531127
144	0.2611699634
145	0.260029162
146	0.2591769188
147	0.2580500467
148	0.257240616
149	0.2563029779
150	0.2554561456
151	0.254375936
152	0.2534998662
153	0.2526449077
154	0.2515574847
155	0.2507753323
156	0.2499520385
157	0.2491927334
158	0.2485368971
159	0.2479125659
160	0.2470734913
161	0.246488013
162	0.2455691009
