iter	Passed	Remaining
412	3442	4892
413	3457	4894
414	3466	4886
415	3474	4877
416	3483	4869
417	3492	4862
418	3499	4853
419	3507	4844
420	3515	4834
421	3523	4826
422	3531	4816
423	3539	4808
424	3545	4796
425	3554	4789
426	3562	4780
427	3571	4773
428	3579	4764
429	3589	4758
430	3598	4751
431	3605	4740
432	3613	4731
433	3618	4719
434	3624	4707
435	3631	4697
436	3636	4685
437	3647	4680
438	3654	4670
439	3665	4664
440	3676	4660
441	3685	4652
442	3694	4645
443	3704	4638
444	3714	4632
445	3721	4622
446	3728	4612
447	3735	4602
448	3744	4595
449	3753	4587
450	3761	4578
451	3772	4573
452	3780	4565
453	3796	4566
454	3804	4557
455	3811	4547
456	3820	4538
457	3826	4528
458	3834	4519
459	3840	4508
460	3845	4495
461	3853	4487
462	3863	4480
463	3871	4472
464	3882	4466
465	3891	4458
466	3899	4450
467	3906	4440
468	3912	4430
469	3918	4418
470	3925	4408
471	3930	4397
472	3938	4388
473	3945	4377
474	3952	4368
475	3959	4359
476	3965	4348
477	3974	4340
478	3982	4331
479	3992	4324
480	4000	4317
481	4008	4307
482	4016	4298
483	4021	4287
484	4028	4277
485	4036	4268
486	4045	4261
487	4053	4253
488	4062	4245
489	4070	4236
490	4080	4230
491	4088	4221
492	4098	4215
493	4108	4208
494	4115	4199
495	4123	4190
496	4128	4178
497	4135	4168
498	4142	4159
499	4148	4148
500	4158	4141
501	4166	4133
502	4176	4127
503	4183	4117
504	4189	4106
505	4199	4099
506	4208	4092
507	4217	4084
508	4226	4077
509	4233	4067
510	4240	4057
511	4247	4048
512	4252	4036
513	4257	4025
514	4264	4016
515	4269	4004
516	4278	3996
517	4283	3985
518	4290	3976
519	4296	3965
520	4304	3957
521	4312	3949
522	4319	3940
523	4327	3930
524	4333	3921
525	4341	3912
526	4348	3903
527	4357	3895
528	4363	3884
529	4369	3874
530	4374	3864
531	4380	3853
532	4387	3844
533	4395	3835
534	4405	3829
535	4413	3820
536	4421	3812
537	4429	3803
538	4438	3795
539	4445	3786
